# naive_pinyin dict v1
# sources: rime-ice(8105/base/ext/others)
a	啊:853,阿:753,吖:660,锕:274,腌:38
a a	啊啊:609
a a a	啊啊啊:324
a a a a	啊啊啊啊:548
a ba	阿爸:391,阿巴:349
a ba a ba	阿巴阿巴:549
a ba si	阿巴斯:402
a bi	阿鼻:382
a bian	阿扁:546
a bo	阿伯:372
a bo luo	阿波罗:503
a bu	啊不:492
a bu zhi dao	啊不知道:492
a chang	阿昌:324
a chu fo	阿閦佛:549
a da	阿达:439
a dai	阿呆:615
a dao fu	阿道夫:368
a de	阿德:302
a de li ya nuo	阿德里亚诺:521
a di	阿迪:549,阿弟:282
a di da si	阿迪达斯:428
a die	阿爹:351
a ding	吖啶:242
a dou	阿斗:412
a du	阿杜:573
a dui	啊对:418
a duo	阿朵:535
a en	啊嗯:418
a er	阿尔:682,阿二:457
a er ba ni ya	阿尔巴尼亚:486
a er ba ni ya gong he guo	阿尔巴尼亚共和国:549
a er bei si	阿尔卑斯:452
a er bei si shan	阿尔卑斯山:456
a er fa	阿尔法:452
a er ji li ya	阿尔及利亚:512
a er ji li ya min zhu ren min gong he guo	阿尔及利亚民主人民共和国:340
a er ka te	阿尔卡特:499
a er sa si	阿尔萨斯:403
a er shan	阿尔山:374
a er si tong	阿尔斯通:358
a er tai	阿尔泰:415
a er tai shan	阿尔泰山:436
a fan ti	阿凡提:436
a fang	阿芳:418
a fei	阿飞:416
a fu	阿福:565,阿父:479
a fu han	阿富汗:570
a fu la	啊服啦:549
a gan	阿甘:553
a gan zheng zhuan	阿甘正传:300
a ge	阿哥:584
a gen	阿根:358
a gen ting	阿根廷:596
a gen ting dui	阿根廷队:367
a gen ting gong he guo	阿根廷共和国:325
a gen ting ren	阿根廷人:502
a gong	阿公:397
a gou	阿狗:272
a gu	阿姑:374
a ha	啊哈:444
a hao	啊好:418
a hong	阿訇:434
a hu	阿虎:515
a hua	阿华:553,阿花:502
a ji	阿吉:556
a ji mi de	阿基米德:430
a ji nuo	阿基诺:413
a jia	阿甲:484
a jia ke si	阿贾克斯:292
a jia xi	阿加西:370
a jiao	阿娇:588
a jie	阿姐:503
a jiu	阿九:516,阿舅:403
a juan	阿娟:470
a ka liu si	阿喀琉斯:346
a ka liu si zhi zhong	阿喀琉斯之踵:548
a kang	阿康:495
a ke su	阿克苏:465
a ke su shi	阿克苏市:334
a la	啊啦:514
a la bo	阿拉伯:610
a la bo guo jia	阿拉伯国家:571
a la bo ren	阿拉伯人:516
a la bo shu zi	阿拉伯数字:432
a la bo wen	阿拉伯文:410
a la bo xu li ya gong he guo	阿拉伯叙利亚共和国:325
a la bo yu	阿拉伯语:488
a la ding	阿拉丁:366
a la fa te	阿拉法特:452
a la gong	阿拉贡:376
a la mu tu	阿拉木图:412
a la shan	阿拉善:415
a la shan kou	阿拉山口:352
a la shan meng	阿拉善盟:365
a la si jia	阿拉斯加:492
a le tai	阿勒泰:413
a li	阿里:576,阿丽:563
a li ba ba	阿里巴巴:510
a li di qu	阿里地区:377
a li shan	阿里山:412
a lian	阿莲:346
a lian qiu	阿联酋:488
a liang	阿亮:508
a long	阿龙:550
a long suo	阿隆索:404
a luo han guo	阿罗汉果:483
a ma	阿玛:538,阿妈:388
a ma ni	阿玛尼:382
a man	阿曼:533
a man su dan guo	阿曼苏丹国:378
a mao	阿猫:268
a mei	阿妹:390
a men	阿门:378
a meng	阿盟:392
a mi	阿米:402
a mi ba	阿米巴:401
a miao	阿秒:413
a ming	阿明:392
a mo xi lin	阿莫西林:306
a mu	阿木:544,阿母:467
a mu er	阿穆尔:356
a mu si te dan	阿姆斯特丹:480
a nan	阿南:270
a ni	啊你:549
a niang	阿娘:278
a niu	阿牛:592
a nu	阿奴:473
a nuo	阿诺:358
a nuo de	阿诺德:394
a pian	阿片:300
a piao	啊飘:418
a po	阿婆:447
a qi	阿奇:543,阿七:354
a qiang	阿强:566
a qin	阿琴:418
a qing	阿青:494,阿庆:426
a rong	阿荣:483
a rui si	阿瑞斯:331
a sai bai jiang	阿塞拜疆:453
a san	阿三:544
a sang	阿桑:506
a sao	阿嫂:433
a se	阿瑟:348
a sen na	阿森纳:538
a sen song	阿森松:484
a sen song dao	阿森松岛:332
a shen me	啊什么:546
a sheng	阿胜:423
a shi	啊是:484
a shi ma	阿诗玛:388
a shi xue	阿是穴:358
a shu	阿叔:309
a shuai	阿衰:418
a shui	阿水:480
a si ba tian	阿斯巴甜:290
a si dun wei la	阿斯顿维拉:522
a si pi lin	阿司匹林:436
a ta	阿塔:371
a te la si	阿特拉斯:412
a ti	阿嚏:314
a tong mu	阿童木:310
a tuo pin	阿托品:416
a wei	啊喂:549
a wei jun su	阿维菌素:298
a weng	阿翁:500
a wo	啊我:418
a wu	啊呜:549
a xin	阿信:553
a xiong	阿兄:240
a xiu luo	阿修罗:408
a ya	啊呀:418
a ye	阿爷:288
a yi	阿姨:560
a ying	阿英:548
a yo	啊哟:482
a you	啊哟:482,啊有:418
a yu wang	阿育王:398
a za	啊咋:418
a zhe	啊这:484
a zhe er	啊这儿:484
a zhen	阿珍:534
a zheng	阿正:466
a zhong	阿忠:451
a zhu	阿朱:561
a zi	阿紫:591,阿姊:395
a zu	阿祖:514
ai	爱:784,艾:675,哎:662,唉:652,哀:646,挨:624,埃:624,矮:623,碍:621,暧:550,癌:531,蔼:526,隘:499,皑:483,霭:480,嗳:446,嫒:414,毐:381,欸:346,叆:327,瑷:300,砹:220,锿:203,嗌:38
ai a	爱啊:525
ai ai	爱爱:549,哎哎:542,皑皑:389,霭霭:310,蔼蔼:292,艾艾:276,矮矮:265
ai ai bai xue	皑皑白雪:490
ai ai de	皑皑的:521,矮矮的:366
ai an	爱俺:418
ai ba	爱吧:563
ai bai	爱白:389
ai ban er	挨班儿:549
ai ban jie er	矮半截儿:549
ai bao	爱宝:472
ai bao ling	爱宝铃:525
ai bei	爱被:484,爱呗:459
ai bi	爱比:418
ai bian	癌变:452
ai bing	爱兵:466,癌病:278
ai bo la bing du	埃博拉病毒:510
ai bu	爱不:514
ai bu ai	爱不爱:310
ai bu shi shou	爱不释手:452
ai cai	爱才:330,爱财:280
ai cang	爱藏:408
ai cao	艾草:278
ai ceng	挨蹭:418
ai chang	爱唱:479
ai chao	爱巢:322
ai che	爱车:412
ai che yi zu	爱车一族:486
ai cheng	爱称:326
ai chi	爱吃:653
ai chong	爱宠:418
ai chou	哀愁:435
ai chuan	爱穿:510
ai ci	挨次:401
ai cuo	爱错:275
ai da	挨打:514,爱打:505
ai dai	爱戴:507,叆叇:418,爱带:274
ai dang	爱党:310
ai dao	爱到:596,哀悼:474,挨到:306,挨刀:294
ai de	爱的:765,爱得:629,矮的:513,挨得:470
ai de gan jue	爱的感觉:567
ai de gu shi	爱的故事:491
ai de hua	爱德华:491
ai de ji jie	爱的季节:484
ai de jiao yu	爱的教育:500
ai de li liang	爱的力量:511
